Zamora, Virus Titus
The life of Jack, Jack Dowell

The History of MonkeyPox, Mr James Brown
Harry Potter, Julian McNiel
The story of Harry Ox, Mark Spencer
A time to kill,John Grisam
East of Eden,John Steinbeck
Vile Bodies, Evelyn Waugh
MOoab is my washpop,Stephen Fry
Noli me Tangere , Jose Rizal
Things Fall Apart , Chinua Achebe
Purple Hibiscus , Chimamanda Ngozi Adichie
The Hairdresser of Harare , Tendai Huchu
Petals of Blood , Ngugi wa Thiong'o
Burma Boy, Biyi Bandele
Half of a yellow sun,Chimamanda Ngozi Adichie
The Famished Road, Ben Okri.
The Memory of Love,Aminatta Forna

Sample Book,Author Sample
